Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
SPY.NYSE@BMD,680,CALL 680.0,#FFFFFF,#008000,center,1,TRUE
SPY.NYSE@BMD,670,PUT 670.0,#FFFFFF,#8B0000,center,1,TRUE
SPY.NYSE@BMD,675.83,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
SPY.NYSE@BMD,679.87,SPOT 679.9,#000000,#FFFF00,center,1,TRUE
SPY.NYSE@BMD,675.83,NET GEX 4385.6,#000000,#FFA500,center,1,FALSE
ESM6.CME@BMD,6864.8,CALL (SPY) 6864.8,#FFFFFF,#008000,center,1,TRUE
ESM6.CME@BMD,6763.85,PUT (SPY) 6763.9,#FFFFFF,#8B0000,center,1,TRUE
ESM6.CME@BMD,6822.7,ZERO GAMMA (SPY),#FFFFFF,#9370DB,center,1,TRUE
ESM6.CME@BMD,6863.49,SPOT (SPY) 6863.5,#000000,#FFFF00,center,1,TRUE
ESM6.CME@TM.Lite,6864.8,CALL (SPY) 6864.8,#FFFFFF,#008000,center,1,TRUE
ESM6.CME@TM.Lite,6763.85,PUT (SPY) 6763.9,#FFFFFF,#8B0000,center,1,TRUE
ESM6.CME@TM.Lite,6822.7,ZERO GAMMA (SPY),#FFFFFF,#9370DB,center,1,TRUE
ESM6.CME@TM.Lite,6863.49,SPOT (SPY) 6863.5,#000000,#FFFF00,center,1,TRUE
SPY.NYSE@BMD,680,GEX now -478,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6864.8,GEX now (SPY) -478,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6864.8,GEX now (SPY) -478,#FFFFFF,#FF6600,center,1,TRUE
SPY.NYSE@BMD,679,GEX 1m -825,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6854.71,GEX 1m (SPY) -825,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6854.71,GEX 1m (SPY) -825,#FFFFFF,#FF6600,center,1,TRUE
SPY.NYSE@BMD,676,GEX 5m -844,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6824.42,GEX 5m (SPY) -844,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6824.42,GEX 5m (SPY) -844,#FFFFFF,#FF6600,center,1,TRUE
SPY.NYSE@BMD,679,GEX 10m -1707,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6854.71,GEX 10m (SPY) -1707,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6854.71,GEX 10m (SPY) -1707,#FFFFFF,#FF6600,center,1,TRUE
SPY.NYSE@BMD,679,GEX 15m -2373,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6854.71,GEX 15m (SPY) -2373,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6854.71,GEX 15m (SPY) -2373,#FFFFFF,#FF6600,center,1,TRUE
SPY.NYSE@BMD,679,GEX 30m -4526,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6854.71,GEX 30m (SPY) -4526,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@TM.Lite,6854.71,GEX 30m (SPY) -4526,#FFFFFF,#FF6600,center,1,TRUE
QQQ.NASDAQ@BMD,610,CALL 610.0,#FFFFFF,#008000,center,1,TRUE
QQQ.NASDAQ@BMD,605,PUT 605.0,#FFFFFF,#8B0000,center,1,TRUE
QQQ.NASDAQ@BMD,605.83,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
QQQ.NASDAQ@BMD,608.67,SPOT 608.7,#000000,#FFFF00,center,1,TRUE
QQQ.NASDAQ@BMD,605.83,NET GEX 602.9,#000000,#FFA500,center,1,FALSE
NQM6.CME@BMD,25252.71,CALL (QQQ) 25252.7,#FFFFFF,#008000,center,1,TRUE
NQM6.CME@BMD,25045.72,PUT (QQQ) 25045.7,#FFFFFF,#8B0000,center,1,TRUE
NQM6.CME@BMD,25080.08,ZERO GAMMA (QQQ),#FFFFFF,#9370DB,center,1,TRUE
NQM6.CME@BMD,25197.65,SPOT (QQQ) 25197.7,#000000,#FFFF00,center,1,TRUE
NQM6.CME@TM.Lite,25252.71,CALL (QQQ) 25252.7,#FFFFFF,#008000,center,1,TRUE
NQM6.CME@TM.Lite,25045.72,PUT (QQQ) 25045.7,#FFFFFF,#8B0000,center,1,TRUE
NQM6.CME@TM.Lite,25080.08,ZERO GAMMA (QQQ),#FFFFFF,#9370DB,center,1,TRUE
NQM6.CME@TM.Lite,25197.65,SPOT (QQQ) 25197.7,#000000,#FFFF00,center,1,TRUE
QQQ.NASDAQ@BMD,607,GEX now -340,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25128.52,GEX now (QQQ) -340,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@TM.Lite,25128.52,GEX now (QQQ) -340,#FFFFFF,#FF6600,center,1,TRUE
QQQ.NASDAQ@BMD,605,GEX 1m -451,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25045.72,GEX 1m (QQQ) -451,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@TM.Lite,25045.72,GEX 1m (QQQ) -451,#FFFFFF,#FF6600,center,1,TRUE
QQQ.NASDAQ@BMD,608,GEX 5m -543,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25169.91,GEX 5m (QQQ) -543,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@TM.Lite,25169.91,GEX 5m (QQQ) -543,#FFFFFF,#FF6600,center,1,TRUE
QQQ.NASDAQ@BMD,603,GEX 10m -510,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,24962.92,GEX 10m (QQQ) -510,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@TM.Lite,24962.92,GEX 10m (QQQ) -510,#FFFFFF,#FF6600,center,1,TRUE
QQQ.NASDAQ@BMD,610,GEX 15m +812,#000000,#00BFFF,center,1,TRUE
NQM6.CME@BMD,25252.71,GEX 15m (QQQ) +812,#000000,#00BFFF,center,1,TRUE
NQM6.CME@TM.Lite,25252.71,GEX 15m (QQQ) +812,#000000,#00BFFF,center,1,TRUE
QQQ.NASDAQ@BMD,608,GEX 30m -1101,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25169.91,GEX 30m (QQQ) -1101,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@TM.Lite,25169.91,GEX 30m (QQQ) -1101,#FFFFFF,#FF6600,center,1,TRUE
IWM.NYSE@BMD,263,CALL 263.0,#FFFFFF,#008000,center,1,TRUE
IWM.NYSE@BMD,260,PUT 260.0,#FFFFFF,#8B0000,center,1,TRUE
